stationname,parameter,date,hour,conc
Cerqueira César,CO,2020-04-04,12,0.3
Cerqueira César,CO,2020-04-04,13,0.2
Cerqueira César,CO,2020-04-04,14,0.3
Cerqueira César,CO,2020-04-04,15,0.3
Cerqueira César,CO,2020-04-04,16,0.2
Cerqueira César,CO,2020-04-04,17,0.2
Cerqueira César,CO,2020-04-04,18,0.2
Cerqueira César,CO,2020-04-04,19,0.2
Cerqueira César,CO,2020-04-04,20,0.2
Cerqueira César,CO,2020-04-04,21,0.3
Cerqueira César,CO,2020-04-04,22,0.3
Cerqueira César,CO,2020-04-04,23,0.3
Cerqueira César,CO,2020-04-04,24,0.2
Cerqueira César,CO,2020-04-05,1,0.2
Cerqueira César,CO,2020-04-05,2,0.2
Cerqueira César,CO,2020-04-05,3,0.2
Cerqueira César,CO,2020-04-05,4,0.2
Cerqueira César,CO,2020-04-05,5,
Cerqueira César,CO,2020-04-05,6,0.2
Cerqueira César,CO,2020-04-05,7,0.2
Cerqueira César,CO,2020-04-05,8,0.2
Cerqueira César,CO,2020-04-05,9,0.1
Cerqueira César,CO,2020-04-05,10,0.2
Cerqueira César,CO,2020-04-05,11,0.2
Cerqueira César,CO,2020-04-05,12,0.2
Cerqueira César,CO,2020-04-05,13,0.2
Cerqueira César,CO,2020-04-05,14,0.2
Cerqueira César,CO,2020-04-05,15,0.2
Cerqueira César,CO,2020-04-05,16,0.2
Cerqueira César,CO,2020-04-05,17,0.2
Cerqueira César,CO,2020-04-05,18,0.2
Cerqueira César,CO,2020-04-05,19,0.2
Cerqueira César,CO,2020-04-05,20,0.2
Cerqueira César,CO,2020-04-05,21,0.2
Cerqueira César,CO,2020-04-05,22,0.3
Cerqueira César,CO,2020-04-05,23,0.3
Cerqueira César,CO,2020-04-05,24,0.3
Cerqueira César,CO,2020-04-06,1,0.3
Cerqueira César,CO,2020-04-06,2,0.2
Cerqueira César,CO,2020-04-06,3,0.2
Cerqueira César,CO,2020-04-06,4,0.2
Cerqueira César,CO,2020-04-06,5,
Cerqueira César,CO,2020-04-06,6,0.2
Cerqueira César,CO,2020-04-06,7,0.3
Cerqueira César,CO,2020-04-06,8,0.4
Cerqueira César,CO,2020-04-06,9,0.5
Cerqueira César,CO,2020-04-06,10,0.5
Cerqueira César,CO,2020-04-06,11,0.5
Cerqueira César,CO,2020-04-06,12,0.4
Cerqueira César,CO,2020-04-06,13,0.3
Cerqueira César,CO,2020-04-06,14,0.5
Cerqueira César,CO,2020-04-06,15,0.4
Cerqueira César,CO,2020-04-06,16,0.4
Cerqueira César,CO,2020-04-06,17,0.4
Cerqueira César,CO,2020-04-06,18,0.4
Cerqueira César,CO,2020-04-06,19,0.6
Cerqueira César,CO,2020-04-06,20,0.5
Cerqueira César,CO,2020-04-06,21,0.6
Cerqueira César,CO,2020-04-06,22,0.7
Cerqueira César,CO,2020-04-06,23,0.4
Cerqueira César,CO,2020-04-06,24,0.2
Cerqueira César,CO,2020-04-07,1,0.2
Cerqueira César,CO,2020-04-07,2,0.1
Cerqueira César,CO,2020-04-07,3,0.1
Cerqueira César,CO,2020-04-07,4,0.2
Cerqueira César,CO,2020-04-07,5,
Cerqueira César,CO,2020-04-07,6,0.2
Cerqueira César,CO,2020-04-07,7,0.2
Cerqueira César,CO,2020-04-07,8,0.3
Cerqueira César,CO,2020-04-07,9,0.3
Cerqueira César,CO,2020-04-07,10,0.3
Cerqueira César,CO,2020-04-07,11,0.3
Cerqueira César,CO,2020-04-07,12,0.2
Cerqueira César,CO,2020-04-07,13,0.2
Cerqueira César,CO,2020-04-07,14,0.2
Cerqueira César,CO,2020-04-07,15,0.2
Cerqueira César,CO,2020-04-07,16,0.2
Cerqueira César,CO,2020-04-07,17,0.2
Cerqueira César,CO,2020-04-07,18,0.2
Cerqueira César,CO,2020-04-07,19,0.2
Cerqueira César,CO,2020-04-07,20,0.2
Cerqueira César,CO,2020-04-07,21,0.2
Cerqueira César,CO,2020-04-07,22,
Cerqueira César,CO,2020-04-07,23,0.1
Cerqueira César,CO,2020-04-07,24,0.1
Cerqueira César,CO,2020-04-08,1,0.1
Cerqueira César,CO,2020-04-08,2,0.1
Cerqueira César,CO,2020-04-08,3,0.1
Cerqueira César,CO,2020-04-08,4,0.1
Cerqueira César,CO,2020-04-08,5,
Cerqueira César,CO,2020-04-08,6,0.1
Cerqueira César,CO,2020-04-08,7,0.1
Cerqueira César,CO,2020-04-08,8,0.2
Cerqueira César,CO,2020-04-08,9,0.2
Cerqueira César,CO,2020-04-08,10,0.2
Cerqueira César,CO,2020-04-08,11,0.2
Cerqueira César,CO,2020-04-08,12,0.2
Cerqueira César,CO,2020-04-08,13,0.2
Cerqueira César,CO,2020-04-08,14,0.3
Cerqueira César,CO,2020-04-08,15,0.2
Cerqueira César,CO,2020-04-08,16,0.2
Cerqueira César,CO,2020-04-08,17,0.2
